SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,ISIN,TIMESTAMP
20MICRONS,EQ,37.8,37.8,36.15,36.85,37.4,37.05,27130,994657.9,202,INE144J01027,2017-06-28
3IINFOTECH,EQ,4.1,4.85,4,4.55,4.65,4.05,20157058,92148517.65,7353,INE748C01020,2017-06-28
3MINDIA,EQ,13425.15,13469.55,12920,13266.7,13300,13460.55,2290,30304923.35,748,INE470A01017,2017-06-28
A2ZINFRA,EQ,41.3,43,41.25,42,41.9,41.5,606403,25531181.75,3418,INE619I01012,2017-06-28
AARTIDRUGS,EQ,539.9,539.9,520,521.85,522.2,536.55,8560,4508881.6,569,INE767A01016,2017-06-28
AARTIIND,EQ,890.95,894.9,876.9,891.3,890,890,39201,34825375.6,2778,INE769A01020,2017-06-28
AARVEEDEN,EQ,58.2,61.2,57,59.5,59.8,58.85,14401,855816.85,223,INE273D01019,2017-06-28
ABAN,EQ,183,184.65,180.8,182.1,181.9,182.65,447698,81789443.55,5449,INE421A01028,2017-06-28
ABB,EQ,1444,1459.7,1424,1452,1452.5,1440.75,49387,71439819.25,15129,INE117A01022,2017-06-28
ABBOTINDIA,EQ,4300,4305,4230,4236.1,4236.25,4243.25,717,3042690.85,151,INE358A01014,2017-06-28
ABFRL,EQ,169.75,173.3,166.2,166.55,166.75,169.95,383781,65051305.1,4460,INE647O01011,2017-06-28
ABIRLANUVO,EQ,1806,1816.95,1791.5,1804.45,1812.65,1811.9,679929,1226013782.4,15261,INE069A01017,2017-06-28
ACC,EQ,1573,1591.9,1541.25,1580.05,1578.05,1578.55,693964,1087888614.8,27799,INE012A01025,2017-06-28
ACCELYA,EQ,1326,1339,1320,1331,1331,1326.7,577,766892.6,93,INE793A01012,2017-06-28
ACE,EQ,67.5,69.85,66.65,68.8,68.7,67.45,220159,15120532.5,1591,INE731H01025,2017-06-28
ADANIENT,EQ,132.3,136.7,132.1,134.4,134.2,131,14293742,1925870944.95,61862,INE423A01024,2017-06-28
ADANIPORTS,EQ,368.4,369.65,363.05,364.5,364.35,367.7,2394375,876217934.5,53764,INE742F01042,2017-06-28
ADANIPOWER,EQ,27.1,28.45,26.75,28.25,28.35,27.1,12240267,340122683.45,21224,INE814H01011,2017-06-28
ADANITRANS,EQ,125.75,128.65,119,123.25,123.05,124.05,1234126,153938120.75,9268,INE931S01010,2017-06-28
ADFFOODS,EQ,245.1,254.8,242.1,247.95,247,246.85,251247,62460769.45,4060,INE982B01019,2017-06-28
ADHUNIK,EQ,5.75,6,5.75,5.8,5.8,5.85,25759,150245,1113,INE400H01019,2017-06-28
ADHUNIKIND,EQ,102.3,104.8,95.1,100.45,97.05,100.5,272916,27640589.05,1082,INE452L01012,2017-06-28
ADLABS,EQ,76.2,79.3,76.2,76.75,77,77.25,433724,33751086.8,3943,INE172N01012,2017-06-28
ADORWELD,EQ,369.05,372.35,366.5,370.1,369.95,370.3,5050,1867987.2,361,INE045A01017,2017-06-28
ADVANIHOTR,EQ,56.7,58.45,55.6,56.55,56.65,56.8,8210,469179,110,INE199C01026,2017-06-28
ADVENZYMES,EQ,318,329.8,311,323.05,322.7,316.75,545246,175397892.6,7913,INE837H01020,2017-06-28
AEGISCHEM,EQ,184.8,185.7,180,185.15,185.1,182.7,79110,14555822.85,1444,INE208C01025,2017-06-28
AGRITECH,EQ,58.95,58.95,55.8,55.8,55.8,58.7,13215,743989.15,168,INE449G01018,2017-06-28
AHLEAST,EQ,290,290,290,290,290,290,233,67570,4,INE926K01017,2017-06-28
AHLUCONT,EQ,322.15,327.55,320.05,321.95,320.1,320.05,34586,11143794.45,220,INE758C01029,2017-06-28
AHLWEST,EQ,165,168,165,165,165,163.1,365,60235,11,INE915K01010,2017-06-28
AIAENG,EQ,1349.55,1369,1330.55,1354.8,1348.95,1347.05,121696,164749702.5,3159,INE212H01026,2017-06-28
AIFL,EQ,418,434,418,422.2,419.8,419.3,130566,55703255.4,3186,INE428O01016,2017-06-28
AJANTPHARM,EQ,1519,1559.4,1507.05,1548.25,1544.05,1517.35,134757,207145165.1,8396,INE031B01049,2017-06-28
AJMERA,EQ,212.85,220.5,207.25,218.8,218.55,212.9,70640,15278350.95,2242,INE298G01027,2017-06-28
AKSHARCHEM,EQ,760.95,772,750,757.1,760,765.5,5070,3849667.1,446,INE542B01011,2017-06-28
AKSHOPTFBR,EQ,17.2,17.25,17,17.05,17.1,17.1,409778,6994860.45,922,INE523B01011,2017-06-28
AKZOINDIA,EQ,1810,1865.95,1801.05,1839.45,1825.1,1812.85,9218,16916949.1,1587,INE133A01011,2017-06-28
ALBERTDAVD,EQ,307,315,307,310.85,314,307.7,2210,685666.55,73,INE155C01010,2017-06-28
ALBK,EQ,66.6,67.45,65.8,67,67.05,67,3255224,217836883.65,16001,INE428A01015,2017-06-28
ALCHEM,EQ,15.55,15.55,14.2,15.25,15.3,15.6,16581,246493.55,136,INE964B01033,2017-06-28
ALEMBICLTD,EQ,38.4,38.8,37.7,38.35,38.3,37.85,257835,9867629.25,1403,INE426A01027,2017-06-28
ALICON,EQ,477,492.4,477,485.5,483.55,478.9,2007,978374.2,93,INE062D01024,2017-06-28
ALKALI,EQ,64.5,64.5,62,62.6,63.4,64.3,15227,967056,178,INE773I01017,2017-06-28
APLAPOLLO,EQ,1552.1,1552.1,1510,1521.15,1511.05,1533.35,7484,11495117.8,922,INE702C01019,2017-06-28
APLLTD,EQ,505,509.1,498,505.15,505,504.25,68560,34524233.25,4173,INE901L01018,2017-06-28
APOLLOHOSP,EQ,1279,1285.1,1261.45,1276.35,1279,1279.6,194333,248225704.05,9788,INE437A01024,2017-06-28
APOLLOTYRE,EQ,240,245.75,237.5,244.3,245.1,243.25,4211405,1016691003.9,47558,INE438A01022,2017-06-28
APOLSINHOT,EQ,789.75,789.75,772.05,789,789,754.8,8,6297.2,5,INE451F01016,2017-06-28
APTECHT,EQ,192,195.4,188.9,191.9,191,192.35,391382,75610630.75,4793,INE266F01018,2017-06-28
ARCHIDPLY,EQ,85.9,88.45,83.85,86,85.6,86.75,70562,6093363,979,INE877I01016,2017-06-28
ARCHIES,EQ,29.75,31,29.65,30.6,30.35,30.25,74453,2259654.95,321,INE731A01020,2017-06-28
ARCOTECH,EQ,93.9,104.3,92.6,97.45,96.4,96.25,2264763,225858900.2,18621,INE574I01035,2017-06-28
ARIES,EQ,148.5,153.55,147,150.05,149.15,148.5,42389,6404705.2,1317,INE298I01015,2017-06-28
ARIHANTSUP,EQ,187.05,187.6,183.5,184.25,184.15,185.85,751763,139079274.25,4443,INE643K01018,2017-06-28
ARMANFIN,EQ,195.95,195.95,188,188.95,188.2,191.25,6899,1302422.35,111,INE109C01017,2017-06-28
AROGRANITE,EQ,73,73.5,71.65,73,73.25,73.05,17914,1303970.65,299,INE210C01013,2017-06-28
ARROWGREEN,EQ,571.35,574.8,551,555.25,554,542.55,153582,86097437.75,5196,INE570D01018,2017-06-28
ARROWTEX,EQ,45.3,45.5,44.6,44.9,44.6,45,6949,312011.25,72,INE933J01015,2017-06-28
ARSHIYA,EQ,67.15,70.4,67,67.7,68.5,68.05,76523,5255619.4,727,INE968D01022,2017-06-28
ARSSINFRA,EQ,64.7,65.95,64,64.8,64.5,64.8,90408,5866561.3,1641,INE267I01010,2017-06-28
ARVIND,EQ,359.5,364.6,353.25,356.1,356.05,360.2,1112671,398824685.3,15554,INE034A01011,2017-06-28
ARVSMART,EQ,135.95,136.95,133,133.95,134,135.45,44067,5960436,500,INE034S01021,2017-06-28
ASAHIINDIA,EQ,243,245.4,240.1,243.7,242.3,243.1,18757,4544180,421,INE439A01020,2017-06-28
ASAHISONG,EQ,279.5,285.4,279.5,280.75,280.25,281.55,7846,2208622.3,213,INE228I01012,2017-06-28
ASAL,EQ,70,70.5,67,67.7,68,70.5,11637,803797.9,72,INE900C01027,2017-06-28
ASHAPURMIN,EQ,57.25,57.3,56.05,56.25,56.2,57.65,43758,2477785.7,488,INE348A01023,2017-06-28
ASHIANA,EQ,196,197,188.4,190.05,189.65,195.55,53087,10151982.95,1120,INE365D01021,2017-06-28
ASHIMASYN,EQ,18.95,19.35,18.6,18.75,18.7,19.05,124406,2350683.85,380,INE440A01010,2017-06-28
ASHOKA,EQ,182.75,187.35,178.75,183.65,182.45,182.75,122700,22461348.55,1882,INE442H01029,2017-06-28
ASHOKLEY,EQ,90.9,92.75,90,92.2,92.55,91.1,4941835,453450561.2,24606,INE208A01029,2017-06-28
BAJAJ-AUTO,EQ,2789,2801,2770.2,2777.05,2784.5,2779.3,284660,790886912.2,11631,INE917I01010,2017-06-28
BAJAJCORP,EQ,377.8,377.95,374.15,375.4,375.95,378.05,15437,5805764.4,2107,INE933K01021,2017-06-28
BAJAJELEC,EQ,325.95,333,324,325.05,324.2,324.6,115888,38140019,2826,INE193E01025,2017-06-28
BAJAJFINSV,EQ,4025,4155,3950,4108.15,4152,4036.05,111692,453385413.25,9628,INE918I01018,2017-06-28
BAJAJHIND,EQ,14.4,14.8,14.25,14.35,14.4,14.35,1859366,26864357.2,2916,INE306A01021,2017-06-28
BAJAJHLDNG,EQ,2111.05,2111.05,2094.8,2100.55,2100,2104.9,7517,15791180.85,2103,INE118A01012,2017-06-28
BAJFINANCE,EQ,1341,1377,1313.9,1372.35,1371,1349.95,998218,1351490429.3,30259,INE296A01024,2017-06-28
BALAJITELE,EQ,133.05,135.45,130,133,133,132.8,348436,46397004.6,3798,INE794B01026,2017-06-28
BALAMINES,EQ,332.1,338.35,325,328.8,327,332.5,10296,3387662.05,382,INE050E01027,2017-06-28
BALKRISHNA,EQ,76.15,77.45,74,74.35,74.65,76.25,9727,733294.95,164,INE875R01011,2017-06-28
BALKRISIND,EQ,1641,1659.3,1620,1642.05,1640.65,1643.8,156780,257053151.35,9071,INE787D01026,2017-06-28
BALLARPUR,EQ,15.25,15.7,15.25,15.55,15.7,15.35,645686,10031299.95,1022,INE294A01037,2017-06-28
BALMLAWRIE,EQ,214.75,217.4,213.1,216.8,217.3,214.75,65851,14181464.25,2119,INE164A01016,2017-06-28
BALPHARMA,EQ,103,103,97,97.45,97.4,101.35,39832,3913358.35,590,INE083D01012,2017-06-28
BALRAMCHIN,EQ,144.5,149.8,144.5,149.15,149.25,146.15,1287259,191024061.7,10278,INE119A01028,2017-06-28
BANARBEADS,EQ,70.05,71.95,70,70.45,70.5,70.25,2230,157624.25,18,INE655B01011,2017-06-28
BANKINDIA,EQ,132,137.65,131.35,136.75,136.55,133.55,4789755,646377589.3,22220,INE084A01016,2017-06-28
BANSWRAS,EQ,180.65,180.7,170,177.65,175.5,173.75,5051,898903.75,163,INE629D01012,2017-06-28
BARTRONICS,EQ,14,14.3,13.95,14.15,14.2,14.05,55604,783309.4,208,INE855F01034,2017-06-28
BASF,EQ,1560,1619,1556,1600.65,1608,1563.45,20518,32463014.4,2172,INE373A01013,2017-06-28
BASML,EQ,293.6,304,293.6,297.45,300,298.7,2534,755644.6,45,INE186H01014,2017-06-28
BATAINDIA,EQ,534.7,534.7,522.65,529.05,525.6,530.05,265998,140485457.35,6370,INE176A01028,2017-06-28
BAYERCROP,EQ,4610.7,4610.7,4570,4586.85,4580.35,4610.7,21716,99571637.35,6356,INE462A01022,2017-06-28
BBL,EQ,1386,1440.45,1346.35,1413.45,1413.9,1385.1,58299,82071715.5,3780,INE464A01028,2017-06-28
BBTC,EQ,875.1,892.5,873.95,886.95,890,880.85,53341,47093416.2,2105,INE050A01025,2017-06-28
BEARDSELL,EQ,53.05,54.5,52.1,54.5,54.5,53.05,584,30772.25,20,INE520H01022,2017-06-28
BEL,EQ,159.8,162,157.6,159.75,159.6,160.55,3571077,572907986.55,33232,INE263A01024,2017-06-28
BEML,EQ,1477,1489.8,1430.15,1438.2,1437,1483.9,718466,1039799004.55,18735,INE258A01016,2017-06-28
BEPL,EQ,51.3,59.6,50.4,58.8,58.4,51.35,11219707,641921830.6,34799,INE922A01025,2017-06-28
BERGEPAINT,EQ,240,240.65,234.4,236.35,237,241.55,593353,140718216.05,39789,INE463A01038,2017-06-28
BFINVEST,EQ,180,185.3,178,182.95,183.3,180.8,126629,23045341.4,2540,INE878K01010,2017-06-28
BFUTILITIE,EQ,383.2,387.7,373,383.7,383.5,386.1,268032,102647591.2,7153,INE243D01012,2017-06-28
BGRENERGY,EQ,142.85,144.45,140.65,142.95,142.85,142.55,117098,16704491.7,1795,INE661I01014,2017-06-28
BHAGERIA,EQ,299.8,305.8,296,300.5,299.2,299.8,16544,4999019.3,1060,INE354C01027,2017-06-28
BHAGYANGR,EQ,24.5,27.65,23.75,25.55,25.4,24.9,137313,3629877.5,648,INE458B01036,2017-06-28
BHANDARI,EQ,2.4,2.45,2.3,2.3,2.3,2.3,139347,329380.3,59,INE474E01029,2017-06-28
BHARATFIN,EQ,701.15,709,698,704.15,702.9,707.2,1036526,728890190.1,18753,INE180K01011,2017-06-28
BHARATFORG,EQ,1084,1087,1052.9,1059.1,1064,1090.2,1132585,1210982745.8,28954,INE465A01025,2017-06-28
BHARATGEAR,EQ,130,142,129,139.15,138.1,131.2,148634,20672311.85,2814,INE561C01019,2017-06-28
BHARATIDIL,EQ,8.4,9.2,8.4,8.65,8.8,8.9,28430,249167.35,78,INE673G01013,2017-06-28
